date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
16,9,0,0,0,,,0,,,,,Recreation and culture,Recreation & culture,01-05-1989,1989-05-01,1989,5,2
16,3,0,0,0,,,0,,,,,Clothing and footwear,Clothing and footwear,01-05-1989,1989-05-01,1989,5,2
16,2,0,0,0,,,0,,,,,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-05-1989,1989-05-01,1989,5,2
17,8,0,10,76,,-.15434951,86,0,.11627907,.88372093,.11627907,Communication,Communication,01-06-1989,1989-06-01,1989,6,2
17,1,1673,919,7299,.069006577,-.0666667,9891,.16914366,.092912748,.73794359,.26205641,Food and non-alcoholic beverages,Food & drink,01-06-1989,1989-06-01,1989,6,2
17,7,194,79,1815,.066983156,-.04458639,2088,.092911877,.037835248,.86925286,.13074712,Transport,Transport,01-06-1989,1989-06-01,1989,6,2
17,4,99,99,1140,.07281933,-.064172477,1338,.07399103,.07399103,.85201794,.14798206,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-06-1989,1989-06-01,1989,6,2
17,2,368,299,3150,.027397234,-.018691681,3817,.096410796,.078333773,.82525545,.17474458,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-06-1989,1989-06-01,1989,6,2
17,3,297,203,6046,.10564236,-.12152968,6546,.04537122,.031011304,.92361748,.076382525,Clothing and footwear,Clothing and footwear,01-06-1989,1989-06-01,1989,6,2
17,9,139,96,2711,.078226686,-.075965777,2946,.04718262,.03258656,.92023081,.079769179,Recreation and culture,Recreation & culture,01-06-1989,1989-06-01,1989,6,2
17,6,28,8,399,.086956523,-.042166561,435,.064367816,.018390805,.91724139,.08275862,Health,Health,01-06-1989,1989-06-01,1989,6,2
17,12,123,66,1821,.071337335,-.068390593,2010,.061194029,.032835823,.90597016,.094029851,Miscellaneous goods and services,Misc,01-06-1989,1989-06-01,1989,6,2
17,5,390,251,3773,.091356739,-.058910809,4414,.088355236,.056864522,.85478026,.14521976,"Furnishings, household equipment and maintenance",Household,01-06-1989,1989-06-01,1989,6,2
17,11,372,77,4651,.063508101,-.028339054,5100,.072941177,.015098039,.91196078,.088039219,Restaurants and Hotels,Restaurants & Hotels,01-06-1989,1989-06-01,1989,6,2
18,1,2098,1391,6150,.070238113,-.075871378,9639,.21765743,.14430958,.63803297,.36196703,Food and non-alcoholic beverages,Food & drink,01-07-1989,1989-07-01,1989,7,3
18,5,479,485,3237,.088193968,-.097235337,4201,.11402047,.11544871,.77053082,.22946918,"Furnishings, household equipment and maintenance",Household,01-07-1989,1989-07-01,1989,7,3
18,2,506,389,2809,.025673917,-.029211104,3704,.13660908,.1050216,.75836933,.24163067,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-07-1989,1989-07-01,1989,7,3
18,9,240,136,2455,.093757629,-.083598658,2831,.084775701,.048039563,.86718476,.13281527,Recreation and culture,Recreation & culture,01-07-1989,1989-07-01,1989,7,3
18,12,187,117,1617,.081235029,-.075056985,1921,.097345136,.060905777,.84174907,.15825091,Miscellaneous goods and services,Misc,01-07-1989,1989-07-01,1989,7,3
18,4,126,107,1118,.065822564,-.062578224,1351,.093264252,.079200596,.82753515,.17246485,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-07-1989,1989-07-01,1989,7,3
18,6,38,15,385,.095693804,-.056179788,438,.086757988,.034246575,.87899542,.12100457,Health,Health,01-07-1989,1989-07-01,1989,7,3
18,11,623,152,4174,.056618802,-.045983132,4949,.12588401,.030713275,.84340268,.15659729,Restaurants and Hotels,Restaurants & Hotels,01-07-1989,1989-07-01,1989,7,3
18,3,501,741,4832,.11589544,-.16680567,6074,.08248271,.12199539,.79552191,.2044781,Clothing and footwear,Clothing and footwear,01-07-1989,1989-07-01,1989,7,3
18,8,5,13,67,.20008004,-.15473443,85,.05882353,.15294118,.78823531,.21176471,Communication,Communication,01-07-1989,1989-07-01,1989,7,3
18,7,189,386,1532,.064332411,-.041841004,2107,.089700997,.18319885,.72710013,.27289987,Transport,Transport,01-07-1989,1989-07-01,1989,7,3
19,8,10,4,69,.16608764,-.08685708,83,.12048193,.048192769,.83132529,.16867471,Communication,Communication,01-08-1989,1989-08-01,1989,8,3
19,6,38,9,412,.058123313,-.090143532,459,.082788669,.019607844,.89760351,.10239651,Health,Health,01-08-1989,1989-08-01,1989,8,3
19,9,169,100,2600,.094108507,-.09091185,2869,.058905542,.034855351,.90623909,.093760893,Recreation and culture,Recreation & culture,01-08-1989,1989-08-01,1989,8,3
19,2,352,332,2989,.025020868,-.026315765,3673,.095834471,.090389326,.8137762,.1862238,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-08-1989,1989-08-01,1989,8,3
19,5,393,221,3595,.090201125,-.082658701,4209,.093371347,.052506533,.8541221,.14587788,"Furnishings, household equipment and maintenance",Household,01-08-1989,1989-08-01,1989,8,3
19,4,379,29,932,.099732019,-.060344771,1340,.28283581,.021641791,.69552237,.3044776,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-08-1989,1989-08-01,1989,8,3
19,12,130,75,1725,.08341071,-.062500015,1930,.06735751,.038860105,.89378238,.10621762,Miscellaneous goods and services,Misc,01-08-1989,1989-08-01,1989,8,3
19,7,173,477,1475,.055555556,-.055555556,2125,.081411764,.22447059,.69411767,.30588233,Transport,Transport,01-08-1989,1989-08-01,1989,8,3
