quote_date,item_id,name,date,median,price,p,keep,date2,date3,newDate,_merge
198809,320108,D. Cigarettes,8,1.50375,3040,.021666765,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,4050,.031249881,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,5060,.03125,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,6070,.02666676,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,7080,.0091665983,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,320108,D. Cigarettes,8,1.50375,8090,.01000011,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,10,1.1523077,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,1020,.21769226,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,2030,.18461537,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,3040,.24038458,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,4050,.2023077,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,5060,.15500009,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,6070,.30230761,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,7080,.39153838,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198809,510413,B. Men's socks,8,1.9973077,8090,.37923098,1,01-09-1988,01-09-1988,1988-09-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,10,.39750001,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,1020,.077499986,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,2030,.054166645,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,3040,.026666701,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,4050,.028333306,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,5060,.025833368,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,6070,.017083287,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,7080,.021666706,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,212511,C. Lettuce,9,.58416665,8090,.041666627,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,10,1.4291667,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,1020,.0099999905,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,2030,.019166708,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,3040,.021666646,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,4050,.028333306,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,5060,.029166698,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,6070,.02791667,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,7080,.019999981,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,320108,D. Cigarettes,9,1.5083333,8090,.011666656,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,10,1.1992308,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,1020,.2203846,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,2030,.16807687,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,3040,.19807696,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,4050,.17192304,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,5060,.24423087,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,6070,.28499985,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
198810,510413,B. Men's socks,9,1.9576923,7080,.32153845,1,01-10-1988,01-10-1988,1988-10-01,matched (3)
